24/11/2024 09:58:01 Epoch 0/100 summary: loss_train=1.09786, acc_train=34.50%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 09:58:30 Epoch 1/100 summary: loss_train=1.09607, acc_train=34.55%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 09:58:58 Epoch 2/100 summary: loss_train=1.09643, acc_train=35.57%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 09:59:27 Epoch 3/100 summary: loss_train=1.09495, acc_train=35.44%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 09:59:58 Epoch 4/100 summary: loss_train=1.09390, acc_train=34.95%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:00:26 Epoch 5/100 summary: loss_train=1.09965, acc_train=34.64%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:00:55 Epoch 6/100 summary: loss_train=1.09698, acc_train=35.52%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:01:23 Epoch 7/100 summary: loss_train=1.09829, acc_train=35.83%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:01:51 Epoch 8/100 summary: loss_train=1.09750, acc_train=36.19%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:02:21 Epoch 9/100 summary: loss_train=1.09658, acc_train=34.68%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:02:49 Epoch 10/100 summary: loss_train=1.09598, acc_train=34.64%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:03:18 Epoch 11/100 summary: loss_train=1.09574, acc_train=35.97%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:03:46 Epoch 12/100 summary: loss_train=1.09549, acc_train=37.57%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:04:15 Epoch 13/100 summary: loss_train=1.09552, acc_train=36.19%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:04:44 Epoch 14/100 summary: loss_train=1.09600, acc_train=33.75%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:05:12 Epoch 15/100 summary: loss_train=1.09550, acc_train=35.79%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:05:41 Epoch 16/100 summary: loss_train=1.09439, acc_train=35.79%, loss_val=0.00, acc_val=25.29% (best: 25.54% @ epoch None)
24/11/2024 10:06:09 Epoch 17/100 summary: loss_train=1.08086, acc_train=40.10%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:06:38 Epoch 18/100 summary: loss_train=1.10289, acc_train=35.92%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:07:06 Epoch 19/100 summary: loss_train=1.09715, acc_train=35.08%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:07:34 Epoch 20/100 summary: loss_train=1.09614, acc_train=33.44%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:08:03 Epoch 21/100 summary: loss_train=1.09677, acc_train=35.12%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:08:31 Epoch 22/100 summary: loss_train=1.09583, acc_train=35.39%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:08:59 Epoch 23/100 summary: loss_train=1.09752, acc_train=36.23%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:09:27 Epoch 24/100 summary: loss_train=1.09563, acc_train=35.26%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:09:56 Epoch 25/100 summary: loss_train=1.09547, acc_train=34.86%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:10:24 Epoch 26/100 summary: loss_train=1.09575, acc_train=35.75%, loss_val=0.00, acc_val=25.54% (best: 25.54% @ epoch None)
24/11/2024 10:10:52 Epoch 27/100 summary: loss_train=1.09340, acc_train=37.57%, loss_val=0.00, acc_val=26.82% (best: 26.82% @ epoch None)
24/11/2024 10:11:20 Epoch 28/100 summary: loss_train=1.08814, acc_train=39.83%, loss_val=0.00, acc_val=42.66% (best: 42.66% @ epoch None)
24/11/2024 10:11:48 Epoch 29/100 summary: loss_train=1.08083, acc_train=41.74%, loss_val=0.00, acc_val=25.29% (best: 42.66% @ epoch None)
24/11/2024 10:12:16 Epoch 30/100 summary: loss_train=1.08060, acc_train=42.14%, loss_val=0.00, acc_val=28.10% (best: 42.66% @ epoch None)
24/11/2024 10:12:45 Epoch 31/100 summary: loss_train=1.06867, acc_train=45.34%, loss_val=0.00, acc_val=28.22% (best: 42.66% @ epoch None)
24/11/2024 10:13:13 Epoch 32/100 summary: loss_train=1.05876, acc_train=45.29%, loss_val=0.00, acc_val=27.84% (best: 42.66% @ epoch None)
24/11/2024 10:13:41 Epoch 33/100 summary: loss_train=1.04815, acc_train=46.85%, loss_val=0.00, acc_val=28.61% (best: 42.66% @ epoch None)
24/11/2024 10:14:09 Epoch 34/100 summary: loss_train=1.03896, acc_train=46.89%, loss_val=0.00, acc_val=30.40% (best: 42.66% @ epoch None)
24/11/2024 10:14:38 Epoch 35/100 summary: loss_train=1.02977, acc_train=48.76%, loss_val=0.00, acc_val=32.18% (best: 42.66% @ epoch None)
24/11/2024 10:15:06 Epoch 36/100 summary: loss_train=1.02321, acc_train=49.33%, loss_val=0.00, acc_val=33.33% (best: 42.66% @ epoch None)
24/11/2024 10:15:34 Epoch 37/100 summary: loss_train=1.01101, acc_train=50.58%, loss_val=0.00, acc_val=34.87% (best: 42.66% @ epoch None)
24/11/2024 10:16:02 Epoch 38/100 summary: loss_train=0.99802, acc_train=52.13%, loss_val=0.00, acc_val=37.29% (best: 42.66% @ epoch None)
24/11/2024 10:16:30 Epoch 39/100 summary: loss_train=0.97350, acc_train=54.93%, loss_val=0.00, acc_val=38.44% (best: 42.66% @ epoch None)
24/11/2024 10:16:59 Epoch 40/100 summary: loss_train=0.97715, acc_train=54.22%, loss_val=0.00, acc_val=38.19% (best: 42.66% @ epoch None)
24/11/2024 10:17:27 Epoch 41/100 summary: loss_train=0.98732, acc_train=52.58%, loss_val=0.00, acc_val=35.38% (best: 42.66% @ epoch None)
24/11/2024 10:17:55 Epoch 42/100 summary: loss_train=0.96733, acc_train=53.37%, loss_val=0.00, acc_val=39.59% (best: 42.66% @ epoch None)
24/11/2024 10:18:23 Epoch 43/100 summary: loss_train=0.95615, acc_train=55.64%, loss_val=0.00, acc_val=42.15% (best: 42.66% @ epoch None)
24/11/2024 10:18:51 Epoch 44/100 summary: loss_train=0.93946, acc_train=56.17%, loss_val=0.00, acc_val=42.27% (best: 42.66% @ epoch None)
24/11/2024 10:19:19 Epoch 45/100 summary: loss_train=0.97243, acc_train=54.22%, loss_val=0.00, acc_val=30.52% (best: 42.66% @ epoch None)
24/11/2024 10:19:47 Epoch 46/100 summary: loss_train=1.01005, acc_train=48.80%, loss_val=0.00, acc_val=39.08% (best: 42.66% @ epoch None)
24/11/2024 10:20:15 Epoch 47/100 summary: loss_train=0.94301, acc_train=57.19%, loss_val=0.00, acc_val=38.31% (best: 42.66% @ epoch None)
24/11/2024 10:20:44 Epoch 48/100 summary: loss_train=0.93800, acc_train=56.66%, loss_val=0.00, acc_val=47.38% (best: 47.38% @ epoch None)
24/11/2024 10:21:12 Epoch 49/100 summary: loss_train=0.89971, acc_train=60.04%, loss_val=0.00, acc_val=49.81% (best: 49.81% @ epoch None)
24/11/2024 10:21:40 Epoch 50/100 summary: loss_train=0.92221, acc_train=59.68%, loss_val=0.00, acc_val=46.36% (best: 49.81% @ epoch None)
24/11/2024 10:22:08 Epoch 51/100 summary: loss_train=0.90137, acc_train=60.39%, loss_val=0.00, acc_val=55.17% (best: 55.17% @ epoch None)
24/11/2024 10:22:36 Epoch 52/100 summary: loss_train=0.88604, acc_train=62.66%, loss_val=0.00, acc_val=61.17% (best: 61.17% @ epoch None)
24/11/2024 10:23:04 Epoch 53/100 summary: loss_train=0.86673, acc_train=64.17%, loss_val=0.00, acc_val=50.32% (best: 61.17% @ epoch None)
24/11/2024 10:23:32 Epoch 54/100 summary: loss_train=0.83765, acc_train=66.43%, loss_val=0.00, acc_val=66.92% (best: 66.92% @ epoch None)
24/11/2024 10:24:00 Epoch 55/100 summary: loss_train=0.81548, acc_train=68.65%, loss_val=0.00, acc_val=68.07% (best: 68.07% @ epoch None)
24/11/2024 10:24:28 Epoch 56/100 summary: loss_train=0.81376, acc_train=69.05%, loss_val=0.00, acc_val=63.86% (best: 68.07% @ epoch None)
24/11/2024 10:24:57 Epoch 57/100 summary: loss_train=0.78679, acc_train=70.78%, loss_val=0.00, acc_val=71.90% (best: 71.90% @ epoch None)
24/11/2024 10:25:25 Epoch 58/100 summary: loss_train=0.79614, acc_train=70.12%, loss_val=0.00, acc_val=68.20% (best: 71.90% @ epoch None)
24/11/2024 10:25:54 Epoch 59/100 summary: loss_train=0.80413, acc_train=69.23%, loss_val=0.00, acc_val=72.92% (best: 72.92% @ epoch None)
24/11/2024 10:26:22 Epoch 60/100 summary: loss_train=0.75334, acc_train=72.47%, loss_val=0.00, acc_val=73.69% (best: 73.69% @ epoch None)
24/11/2024 10:26:50 Epoch 61/100 summary: loss_train=0.73999, acc_train=74.25%, loss_val=0.00, acc_val=72.80% (best: 73.69% @ epoch None)
24/11/2024 10:27:18 Epoch 62/100 summary: loss_train=0.72466, acc_train=75.36%, loss_val=0.00, acc_val=75.22% (best: 75.22% @ epoch None)
24/11/2024 10:27:46 Epoch 63/100 summary: loss_train=0.72120, acc_train=75.75%, loss_val=0.00, acc_val=75.86% (best: 75.86% @ epoch None)
24/11/2024 10:28:14 Epoch 64/100 summary: loss_train=0.73182, acc_train=74.78%, loss_val=0.00, acc_val=76.50% (best: 76.50% @ epoch None)
24/11/2024 10:28:42 Epoch 65/100 summary: loss_train=0.71126, acc_train=77.18%, loss_val=0.00, acc_val=74.97% (best: 76.50% @ epoch None)
24/11/2024 10:29:10 Epoch 66/100 summary: loss_train=0.71180, acc_train=76.07%, loss_val=0.00, acc_val=76.88% (best: 76.88% @ epoch None)
24/11/2024 10:29:38 Epoch 67/100 summary: loss_train=0.70324, acc_train=77.93%, loss_val=0.00, acc_val=76.88% (best: 76.88% @ epoch None)
24/11/2024 10:30:06 Epoch 68/100 summary: loss_train=0.70301, acc_train=77.44%, loss_val=0.00, acc_val=77.52% (best: 77.52% @ epoch None)
24/11/2024 10:30:35 Epoch 69/100 summary: loss_train=0.69287, acc_train=77.66%, loss_val=0.00, acc_val=75.99% (best: 77.52% @ epoch None)
24/11/2024 10:31:03 Epoch 70/100 summary: loss_train=0.69978, acc_train=77.04%, loss_val=0.00, acc_val=77.65% (best: 77.65% @ epoch None)
24/11/2024 10:31:30 Epoch 71/100 summary: loss_train=0.69366, acc_train=77.09%, loss_val=0.00, acc_val=77.14% (best: 77.65% @ epoch None)
24/11/2024 10:31:58 Epoch 72/100 summary: loss_train=0.69402, acc_train=77.44%, loss_val=0.00, acc_val=76.63% (best: 77.65% @ epoch None)
24/11/2024 10:32:27 Epoch 73/100 summary: loss_train=0.69599, acc_train=77.31%, loss_val=0.00, acc_val=77.78% (best: 77.78% @ epoch None)
24/11/2024 10:32:55 Epoch 74/100 summary: loss_train=0.68804, acc_train=78.20%, loss_val=0.00, acc_val=80.46% (best: 80.46% @ epoch None)
24/11/2024 10:33:23 Epoch 75/100 summary: loss_train=0.68511, acc_train=77.75%, loss_val=0.00, acc_val=80.33% (best: 80.46% @ epoch None)
24/11/2024 10:33:51 Epoch 76/100 summary: loss_train=0.67637, acc_train=78.82%, loss_val=0.00, acc_val=76.50% (best: 80.46% @ epoch None)
24/11/2024 10:34:19 Epoch 77/100 summary: loss_train=0.66889, acc_train=78.55%, loss_val=0.00, acc_val=79.31% (best: 80.46% @ epoch None)
