0 tensor(34.5027, device='cuda:0')
1 tensor(34.5471, device='cuda:0')
2 tensor(35.5684, device='cuda:0')
3 tensor(35.4352, device='cuda:0')
4 tensor(34.9467, device='cuda:0')
5 tensor(34.6359, device='cuda:0')
6 tensor(35.5240, device='cuda:0')
7 tensor(35.8348, device='cuda:0')
8 tensor(36.1901, device='cuda:0')
9 tensor(34.6803, device='cuda:0')
10 tensor(34.6359, device='cuda:0')
11 tensor(35.9680, device='cuda:0')
12 tensor(37.5666, device='cuda:0')
13 tensor(36.1901, device='cuda:0')
14 tensor(33.7478, device='cuda:0')
15 tensor(35.7904, device='cuda:0')
16 tensor(35.7904, device='cuda:0')
17 tensor(40.0977, device='cuda:0')
18 tensor(35.9236, device='cuda:0')
19 tensor(35.0799, device='cuda:0')
20 tensor(33.4369, device='cuda:0')
21 tensor(35.1243, device='cuda:0')
22 tensor(35.3908, device='cuda:0')
23 tensor(36.2345, device='cuda:0')
24 tensor(35.2575, device='cuda:0')
25 tensor(34.8579, device='cuda:0')
26 tensor(35.7460, device='cuda:0')
27 tensor(37.5666, device='cuda:0')
28 tensor(39.8313, device='cuda:0')
29 tensor(41.7407, device='cuda:0')
30 tensor(42.1403, device='cuda:0')
31 tensor(45.3375, device='cuda:0')
32 tensor(45.2931, device='cuda:0')
33 tensor(46.8472, device='cuda:0')
34 tensor(46.8917, device='cuda:0')
35 tensor(48.7567, device='cuda:0')
36 tensor(49.3339, device='cuda:0')
37 tensor(50.5773, device='cuda:0')
38 tensor(52.1314, device='cuda:0')
39 tensor(54.9290, device='cuda:0')
40 tensor(54.2185, device='cuda:0')
41 tensor(52.5755, device='cuda:0')
42 tensor(53.3748, device='cuda:0')
43 tensor(55.6394, device='cuda:0')
44 tensor(56.1723, device='cuda:0')
45 tensor(54.2185, device='cuda:0')
46 tensor(48.8011, device='cuda:0')
47 tensor(57.1936, device='cuda:0')
48 tensor(56.6607, device='cuda:0')
49 tensor(60.0355, device='cuda:0')
50 tensor(59.6803, device='cuda:0')
51 tensor(60.3908, device='cuda:0')
52 tensor(62.6554, device='cuda:0')
53 tensor(64.1652, device='cuda:0')
54 tensor(66.4298, device='cuda:0')
55 tensor(68.6501, device='cuda:0')
56 tensor(69.0497, device='cuda:0')
57 tensor(70.7815, device='cuda:0')
58 tensor(70.1155, device='cuda:0')
59 tensor(69.2274, device='cuda:0')
60 tensor(72.4689, device='cuda:0')
61 tensor(74.2451, device='cuda:0')
62 tensor(75.3552, device='cuda:0')
63 tensor(75.7549, device='cuda:0')
64 tensor(74.7780, device='cuda:0')
65 tensor(77.1758, device='cuda:0')
66 tensor(76.0657, device='cuda:0')
67 tensor(77.9307, device='cuda:0')
68 tensor(77.4423, device='cuda:0')
69 tensor(77.6643, device='cuda:0')
70 tensor(77.0426, device='cuda:0')
71 tensor(77.0870, device='cuda:0')
72 tensor(77.4423, device='cuda:0')
73 tensor(77.3091, device='cuda:0')
74 tensor(78.1972, device='cuda:0')
75 tensor(77.7531, device='cuda:0')
76 tensor(78.8188, device='cuda:0')
77 tensor(78.5524, device='cuda:0')
78 tensor(79.1297, device='cuda:0')
79 tensor(78.9520, device='cuda:0')
80 tensor(79.8401, device='cuda:0')
81 tensor(79.0409, device='cuda:0')
82 tensor(79.7513, device='cuda:0')
83 tensor(77.1758, device='cuda:0')
84 tensor(78.4192, device='cuda:0')
85 tensor(79.3073, device='cuda:0')
86 tensor(79.3073, device='cuda:0')
87 tensor(81.7940, device='cuda:0')
88 tensor(80.1510, device='cuda:0')
89 tensor(80.8615, device='cuda:0')
90 tensor(80.5062, device='cuda:0')
91 tensor(81.2611, device='cuda:0')
92 tensor(81.5275, device='cuda:0')
93 tensor(82.6377, device='cuda:0')
94 tensor(81.6163, device='cuda:0')
95 tensor(80.6838, device='cuda:0')
96 tensor(81.5719, device='cuda:0')
97 tensor(80.7727, device='cuda:0')
98 tensor(80.6838, device='cuda:0')
99 tensor(81.6608, device='cuda:0')
